PostTime (ET)  | Field | Distance        | Location                       | D | Race#
-----------------------------------------------------------------------------------------------
  05:05        | ?     | ?               | Nantes                         | T | 1
  05:35        | ?     | ?               | Nantes                         | T | 2
  05:51        | ?     | ?               | Lyon-Parilly                   | H | 1
  06:05        | ?     | ?               | Vaal                           | T | 1
  06:07        | ?     | ?               | Nantes                         | T | 3
  06:23        | ?     | ?               | Lyon-Parilly                   | H | 2
  06:39        | ?     | ?               | Nantes                         | T | 4
  06:40        | ?     | ?               | Vaal                           | T | 2
  06:55        | ?     | ?               | Lyon-Parilly                   | H | 3
  07:11        | ?     | ?               | Nantes                         | T | 5
  07:15        | ?     | ?               | Vaal                           | T | 3
  07:27        | ?     | ?               | Lyon-Parilly                   | H | 4
  07:43        | ?     | ?               | Nantes                         | T | 6
  07:50        | ?     | ?               | Vaal                           | T | 4
  07:55        | ?     | ?               | Fontainebleau                  | T | 1
  08:12        | ?     | ?               | Lyon-Parilly                   | H | 5
  08:15        | ?     | ?               | Nantes                         | T | 7
  08:25        | ?     | ?               | Vaal                           | T | 5
  08:30        | ?     | ?               | Fontainebleau                  | T | 2
>>08:47        | ?     | ?               | Lyon-Parilly                   | H | 6
  09:00        | ?     | ?               | Vaal                           | T | 6
  09:05        | ?     | ?               | Fontainebleau                  | T | 3
  09:15        | ?     | ?               | Bangor-On-Dee                  | T | 1
  09:22        | ?     | ?               | Lyon-Parilly                   | T | 7
  09:30        | ?     | ?               | Newcastle                      | T | 1
  09:35        | ?     | ?               | Vaal                           | T | 7
  09:40        | ?     | ?               | Fontainebleau                  | T | 4
  09:45        | ?     | ?               | Bangor-on-Dee                  | T | 2
  09:57        | ?     | ?               | Lyon-Parilly                   | T | 8
  10:00        | ?     | ?               | Newcastle                      | G | 2
  10:10        | ?     | ?               | Vaal                           | T | 8
  10:15        | ?     | ?               | Bangor-on-Dee                  | T | 3
  10:15        | ?     | ?               | Fontainebleau                  | T | 5
  10:30        | ?     | ?               | Newcastle                      | G | 3
  10:32        | ?     | ?               | Vincennes                      | H | 1
  10:45        | ?     | ?               | Vaal                           | T | 9
  10:50        | ?     | ?               | Bangor-on-Dee                  | T | 4
  10:50        | ?     | ?               | Fontainebleau                  | T | 6
  11:00        | ?     | ?               | Newcastle                      | G | 4
  11:07        | ?     | ?               | Vincennes                      | T | 2
  11:10        | ?     | ?               | Limerick                       | T | 1
  11:20        | ?     | ?               | Bangor-on-Dee                  | T | 5
  11:25        | ?     | ?               | Fontainebleau                  | T | 7
  11:30        | ?     | ?               | Newcastle                      | G | 5
  11:40        | ?     | ?               | Limerick                       | T | 2
  11:42        | ?     | ?               | Vincennes                      | T | 3
  11:50        | ?     | ?               | Bangor-on-Dee                  | T | 6
  12:00        | ?     | ?               | Fontainebleau                  | T | 8
  12:00        | ?     | ?               | Newcastle                      | G | 6
  12:10        | ?     | ?               | Limerick                       | T | 3
  12:15        | 6     | ?               | Mahoning Valley                | T | 1
  12:20        | ?     | ?               | Vincennes                      | T | 4
  12:30        | ?     | ?               | Wolverhampton                  | T | 1
  12:35        | ?     | ?               | Newcastle                      | G | 7
  12:40        | 12    | ?               | Parx                           | T | 1
  12:42        | ?     | ?               | Limerick                       | T | 4
  12:43        | 5     | ?               | Mahoning Valley                | T | 2
  12:55        | ?     | ?               | Vincennes                      | T | 5
  13:00        | ?     | ?               | Wolverhampton                  | T | 2
  13:07        | 8     | ?               | Parx                           | T | 2
  13:11        | 6     | ?               | Mahoning Valley                | T | 3
  13:12        | ?     | ?               | Limerick                       | T | 5
  13:27        | ?     | ?               | Vincennes                      | T | 6
  13:30        | ?     | ?               | Wolverhampton                  | T | 3
  13:34        | 7     | ?               | Parx                           | T | 3
  13:39        | 7     | ?               | Mahoning Valley                | T | 4
  13:42        | ?     | ?               | Limerick                       | T | 6
  13:59        | ?     | ?               | Vincennes                      | T | 7
