PostTime     | Field | Distance        | Purse           | Location
----------------------------------------------------------------------------------------------------
00:10        | 7     | 1m              | ?               | Penn National
00:25        | 5     | 6f 110y         | ?               | Charles Town
00:25        | 11    | 1m              | ?               | Turfway Park
00:39        | 9     | 1f 110y         | ?               | Penn National
00:53        | 7     | 6f 110y         | ?               | Charles Town
00:55        | 12    | 6f              | ?               | Turfway Park
01:21        | 6     | 6f 110y         | ?               | Charles Town
01:25        | 11    | 1m              | ?               | Turfway Park
01:49        | 7     | 4f 110y         | ?               | Charles Town
01:55        | 11    | 6f 110y         | ?               | Turfway Park
02:17        | 7     | 1m              | ?               | Charles Town
02:25        | 13    | 4f 214y         | ?               | Turfway Park
10:35        | 8     | 4f 214y         | ?               | Vaal
11:10        | 7     | 7f 46y          | ?               | Vaal
11:23        | 11    | 1m 5f 120y      | ?               | Lisieux
11:45        | 7     | 7f 46y          | ?               | Vaal
11:55        | 14    | 1m 2f 96y       | ?               | Lisieux
12:15 ET     | 6     | ?               | ?               | Mahoning Valley
12:20        | 9     | 1m 3f 205y      | ?               | Vaal
12:27        | 14    | 1m 5f 120y      | ?               | Lisieux
12:43 ET     | 5     | ?               | ?               | Mahoning Valley
12:50 ET     | 8     | ?               | ?               | Gulfstream Park
12:55        | 16    | 1m 1f 97y       | ?               | Chantilly
12:55        | 12    | 1m 209y         | ?               | Vaal
13:11 ET     | 6     | ?               | ?               | Mahoning Valley
13:12        | 18    | 1m 5f 120y      | ?               | Lisieux
13:21 ET     | 9     | ?               | ?               | Gulfstream Park
13:30        | 8     | 1m 1f 97y       | ?               | Chantilly
13:30        | 9     | 1m 209y         | ?               | Vaal
13:30 ET     | 9     | ?               | ?               | Oaklawn Park
13:39 ET     | 6     | ?               | ?               | Mahoning Valley
13:47        | 18    | 1m 5f 120y      | ?               | Lisieux
13:52 ET     | 7     | ?               | ?               | Gulfstream Park
14:03 ET     | 9     | ?               | ?               | Oaklawn Park
14:05        | 8     | 1m 1f 97y       | ?               | Chantilly
14:05        | 12    | 1m 209y         | ?               | Vaal
14:07        | 12    | 1m 6f 21y       | ?               | Southwell
14:07 ET     | 7     | ?               | ?               | Mahoning Valley
14:18        | 7     | 2m 7f 136y      | ?               | Chepstow
14:22        | 17    | 1m 2f 96y       | ?               | Lisieux
14:23 ET     | 7     | ?               | ?               | Gulfstream Park
14:28        | 3     | 3m 2f           | ?               | Warwick
14:34 ET     | 7     | ?               | ?               | Oaklawn Park
14:35 ET     | 7     | ?               | ?               | Mahoning Valley
14:35 ET     | 7     | ?               | ?               | Louisiana Downs
14:37        | 4     | 1m 13y          | ?               | Southwell
14:40        | 13    | 6f 211y         | ?               | Chantilly
14:40        | 9     | 1m 1f 97y       | ?               | Vaal
14:42        | 6     | 2m              | ?               | Clonmel
14:50        | 10    | 2m 16y          | ?               | Chepstow
14:54 ET     | 8     | ?               | ?               | Gulfstream Park
14:57        | 14    | 1m 2f 96y       | ?               | Lisieux
14:58        | 7     | 2m 4f           | ?               | Warwick
15:03 ET     | 6     | ?               | ?               | Mahoning Valley
15:06 ET     | 8     | ?               | ?               | Oaklawn Park
15:07        | 11    | 1m 13y          | ?               | Southwell
15:12        | 8     | 2m 7f 122y      | ?               | Clonmel
15:15        | 14    | 6f 211y         | ?               | Chantilly
15:20        | 7     | 3m 6f 136y      | ?               | Chepstow
15:25 ET     | 7     | ?               | ?               | Gulfstream Park
15:28        | 9     | 2m              | ?               | Warwick
15:30        | 14    | 1m 6f 146y      | ?               | Lisieux
15:30 ET     | 10    | ?               | ?               | Louisiana Downs
15:31 ET     | 7     | ?               | ?               | Mahoning Valley
15:37        | 11    | 7f 14y          | ?               | Southwell
15:38 ET     | 10    | ?               | ?               | Oaklawn Park
15:42        | 14    | 2m              | ?               | Clonmel
15:45        | 13    | 1m 6f 146y      | ?               | Toulouse
15:50        | 9     | 2m 3f 100y      | ?               | Chepstow
15:55 ET     | 8     | ?               | ?               | Gulfstream Park
15:55 ET     | 10    | ?               | ?               | Louisiana Downs
15:58        | 6     | 3m              | ?               | Warwick
16:00        | 15    | 6f 211y         | ?               | Chantilly
16:07        | 12    | 6f 16y          | ?               | Southwell
16:12        | 16    | 2m 2f 188y      | ?               | Clonmel
16:12 ET     | 10    | ?               | ?               | Oaklawn Park
16:15        | 6     | 5f 110y         | ?               | Mahoning Valley
16:15 ET     | 10    | ?               | ?               | Turf Paradise
16:17        | 12    | 1m 5f 147y      | ?               | Toulouse
16:20        | 11    | 2m 7f 131y      | ?               | Chepstow
16:20 ET     | 8     | ?               | ?               | Louisiana Downs
16:25 ET     | 6     | ?               | ?               | Gulfstream Park
16:30        | 8     | 2m              | ?               | Warwick
16:35        | 14    | 6f 211y         | ?               | Chantilly
16:37        | 7     | 6f 16y          | ?               | Southwell
16:42        | 12    | 2m 2f 188y      | ?               | Clonmel
16:43        | 5     | 6f              | ?               | Mahoning Valley
